text,type,year
Considerando o Relatório de Análise da Prestação de Contas Anuais de 2015;,Considerandos,2015
Considerando os esclarecimentos do Governo do Estado de Pernambuco;,Considerandos,2015
Considerando que as contas do Poder Executivo foram apresentadas pelo Governador do  Estado à Assembleia Legislativa no prazo e nas condições exigidas pela Constituição Estadual de 1989;,Considerandos,2015
"Considerando que no Balanço Geral do Estado estão contidos os Balanços Orçamentário, Financeiro e Patrimonial e os Demonstrativos das Variações Patrimoniais, bem como os demonstrativos previstos na Lei Complementar 101/200 (Lei de Responsabilidade Fiscal), está escriturado de acordo com a normatização de regência;",Considerandos,2015
"Considerando que foram observados os limites de despesas com pessoal, previstos na Lei de Responsabilidade Fiscal, em todos os quadrimestres do exercício de 2015;",Considerandos,2015
"Considerando que foram igualmente observados os limites de endividamento, realização de operações de crédito, pagamento da dívida e concessões de garantias, previstos no já citado diploma fiscal;",Considerandos,2015
"Considerando que ao lado do cumprimento de outros limites, houve a observância dos limites mínimos constitucionais para aplicação de recursos nas ações e serviços públicos de saúde e na manutenção e desenvolvimento do ensino (CF artigos 198, § 2º, e 212);",Considerandos,2015
Considerando que foi observado o cumprimento das exigências na remuneração dos profissionais de educação;,Considerandos,2015
Considerando que foram respeitados todos preceitos exigidos pela Lei de Responsabilidade Fiscal;,Considerandos,2015
Considerando ainda que foi respeitado o limite de despesa com contratos de Parcerias Público Privadas em relação a Receita Corrente Líquida;,Considerandos,2015
Considerando o Relatório Técnico e as contrarrazões apresentadas pelos interessados;,Considerandos,2015
Considerando que as defesas apresentadas afastam as irregularidades apontadas pela auditotoria desta Corte;,Considerandos,2015
Considerando que não há nos autos nada que macule esta prestação de constas;,Considerandos,2015
Considerando o Relatório de Auditoria e a defesa do interessado;,Considerandos,2015
Considerando que a defesa afasta as irregularidades apontadas no Relatório Técnico;,Considerandos,2015
Considerando que não há nos autos nada que macule este processo de prestação de contas;,Considerandos,2015
"Considerando que a Prefeitura apresentou um percentual de Despesa com Pessoal acima do limite desde o 1º semestre de 2013, mantendo-se nessa situação, tendo a Despesa com Pessoal  nos 1º, 2º e 3º quadrimestres de 2015 atingido, respectivamente, 65,40%, 67,64% e 66,13% da Receita Corrente Líquida, enquanto o limite seria de 54%, em afronta ao disposto no artigo 23 da Lei de Responsabilidade Fiscal;",Considerandos,2015
"Considerando que a prefeitura foi  regularmente alertada por este Tribunal, através de Ofícios de Alerta, por  ter ultrapassado em 90% o comprometimento da sua despesa total com pessoal;",Considerandos,2015
"Considerando que o Prefeito Municipal de Passira não ordenou ou promoveu, na forma e nos prazos da Lei de Responsabilidade Fiscal, a execução de medidas para a redução do montante da despesa total com pessoal, que excedeu o limite estabelecido para o Poder Executivo, configurando a prática de infração administrativa prevista na Lei Federal nº 10.028/2000 - Lei de Crimes Fiscais (artigo 5º, inciso IV), o que resultou na aplicação de sanção pecuniária (Processo TCE-PE N° 1840007-3) nos termos do artigo 5º, § 1º, da citada Lei, e do artigo 74 da Lei Estadual nº 12.600/2004 (Lei Orgânica deste Tribunal);",Considerandos,2015
"Considerando que não foram recolhidas ao RGPS contribuições patronais no montante de R$ 1.068.850,50;",Considerandos,2015
"Considerando que não foram recolhidas ao RGPS contribuições descontadas dos servidores no montante de R$ 55.822,80",Considerandos,2015
"Considerando que não foram recolhidas ao RPPS contribuições patronais no montante de R$ 1.389.942,42;",Considerandos,2015
"Considerando que não foram recolhidas ao RPPS contribuições previdenciárias descontadas dos servidores no montante de R$ 26.470,33;",Considerandos,2015
Considerando o agravamento da situação de deficit atuarial do Plano Financeiro do RPPS;,Considerandos,2015
Considerando o RPPS em desequilíbrio atuarial;,Considerandos,2015
"Considerando a não adoção da alíquota patronal suplementar, sugerida na avaliação atuarial, a qual corresponde a percentual que conduziria o RPPS a uma situação de equilíbrio atuarial;",Considerandos,2015
"Considerando que o conteúdo da LDO não atende à legislação, podendo comprometer a gestão fiscal do ente e a definição e o alcance de metas prioritárias para a administração municipal;",Considerandos,2015
Considerando que o conteúdo da LOA não atende à legislação;,Considerandos,2015
Considerando a existências de demonstrativos contábeis com diversas falhas relativas aos registros das despesas;,Considerandos,2015
"Considerando a existência de deficit de execução orçamentária no montante de R$ 5.088.652,74;",Considerandos,2015
"Considerando  que o município empenhou e vinculou despesas aos recursos do FUNDEB sem lastro financeiro, em montante acima da receita recebida no exercício, provocando comprometimento da receita do exercício seguinte;",Considerandos,2015
"Considerando a ausência de evidenciação, no Balanço Financeiro, do controle contábil das receitas e despesas orçamentárias por fonte/destinação dos recursos, deixando-se de discriminar as fontes ordinárias e vinculadas de receitas e suas respectivas aplicações em despesas, em desobediência ao previsto no Manual de Contabilidade Aplicada ao Setor Público – MCASP; ",Considerandos,2015
"Considerando a inscrição de Restos a Pagar sem que houvesse disponibilidade de recursos, vinculados ou não vinculados, para seu custeio;",Considerandos,2015
Considerando os baixos índices de liquidez imediata e corrente;,Considerandos,2015
"Considerando a ausência de registro, em conta redutora, de Provisão para Perdas de Dívida Ativa, evidenciando, no Balanço Patrimonial, uma situação não compatível com a realidade;",Considerandos,2015
Considerando a despesa total com pessoal acima do limite previsto pela LRF;,Considerandos,2015
Considerando a não recondução do gasto com pessoal ao limite no período determinado na LRF;,Considerandos,2015
Considerando o reincidente extrapolação do limite de despesa total com pessoal;,Considerandos,2015
"Considerando que o Poder Executivo municipal não disponibilizou integralmente para a sociedade o conjunto de informações exigido na LRF, na Lei Complementar nº 131/2009, na Lei nº 12.527/2011 (LAI) e na Constituição Federal, apresentando nível de transparência “Insuficiente”, conforme aplicação de metodologia de levantamento do ITMPE;",Considerandos,2015
Considerando o Relatório de Auditoria e a Peça de defesa apresentada;,Considerandos,2015
"Considerando o déficit de execução orçamentária da ordem de R$ 2.589.250,15, a significar a realização de despesa em volume superior às receitas arrecadadas;",Considerandos,2015
"Considerando o crescente endividamento do Município, demonstrando uma baixa capacidade de honrar com os compromissos de curto prazo, visto que o Passivo Circulante cresceu 68,02%, passando de R$ 3.506.426,60 (2014) para R$ 5.703.673,30 (2015), da outra banda piorando a situação financeira do Município, redução de 38,92% no Disponível, passou de R$ 3.029.954,46 (2014) para R$ 1.850.593,23 (2015), ponto 3.2.1 do Relatório de Auditoria;",Considerandos,2015
"Considerando que o Prefeito contribuiu para a geração do déficit orçamentário supracitado, uma vez que: a)autorizou despesas orçamentárias em patamares superiores ao devido, graças a não anulação das dotações indicadas como fontes de créditos adicionais; b) as receitas orçamentárias foram superestimadas, resultando em frustração da arrecadação;",Considerandos,2015
"Considerando que ao não repassar R$ 193.964,20 (22,63%) da contribuição patronal devida e R$ 127.331,26 (26,22%) da contribuição patronal especial para o RPPS, Item 9.3 do Relatório de Auditoria, o Município contribuiu para o incremento do deficit atuarial do RPPS, Item 9.4 do Relatório de Auditoria;",Considerandos,2015
COnsiderando as Súmulas n°s 07 e 08 exaradas pelo TCE-PE;,Considerandos,2015
"COnsiderando que as ações e/ou omissões referenciadas na irregularidade relatada no item 9.3 do Relatório de Auditoria configuram fortes indícios de incursão nos arts. 10 e 11 da Lei nº 8429/92, determino a aposição de nota de improbidade administrativa;",Considerandos,2015
"Considerando que no 3° quadrimestre do exercício financeiro de 2015 a Prefeitura extrapolou o limite legal de gastos com pessoal, apresentando comprometimento de sua RCL da ordem de 55,75%, percentual esse bem acima do que foi publicado no RGF do 3° quadrimestre do Município – 47,34%, descumprindo, assim, o art. 20, inciso III, alínea b da LRF, item 6.1 do Relatório de Auditoria;",Considerandos,2015
"Considerando as deficiências no Portal da Transparência da Prefeitura Municipal de Santa Filomena; O Poder Executivo Municipal não disponibilizou integralmente para a sociedade o conjunto de informações exigido na LRF, na Lei Complementar nº 131/2009, na Lei nº 12.527/2011 (LAI) e na Constituição Federal, apresentando nível de transparência “Insuficiente”, conforme aplicação de metodologia de levantamento do ITMPE, item 10.1 do Relatório de Auditoria;",Considerandos,2015
"CONSIDERANDO que o presente processo se refere às contas de governo, instrumento através do qual o Chefe do Poder Executivo de qualquer dos entes da federação expressa os resultados da atuação governamental no exercício financeiro respectivo, apresentadas na forma de contas globais que refletem a situação das finanças da unidade federativa, revelando o planejamento governamental, a política fiscal e previdenciária; demonstrando os níveis de endividamento, o atendimento ou não aos limites previstos para a saúde, educação, despesa com pessoal e repasse ao legislativo; bem como o atendimento ou não das normas que disciplinam a transparência da administração pública;",Considerandos,2015
