concordância_top1,concordância_top2,concordância_top3,definição_curta,nro_de_crianças_que_analisaram,palavra_dificil,pos_tag,scores_do_ranqueamento,sentença,sinônimos_anotados,sinônimos_ranqueados,spearman,termo_técnico,área_conhecimento,AoA,AoA_zipf,Concretenes,Concretenes_zipf,Imagery,Imagery_zipf,LM-News_log10,LM-News_log10_lemma,Subjective Frequency,Subjective Frequency_zipf,cd_jdp,cd_jdp_lema,cd_jdp_lema_zipf,cd_jdp_zipf,chars,chars_lemma,chars_lemma_zipf,chars_zipf,freq_guten,freq_guten_lemma,freq_guten_lemma_zipf,freq_guten_zipf,freq_jdp,freq_jdp_lemma,freq_jdp_lemma_zipf,freq_jdp_zipf,hypernyms,hypernyms_zipf,hyponyms,hyponyms_zipf,syllables,syllables_lemma,syllables_lemma_zipf,syllables_zipf,synsets,synsets_lemma,synsets_lemma_zipf,synsets_zipf
0.0,0.0,0.0,Tornar mais amplo; alargar.,0,expandir,V,,"Por enquanto, o Circo da Física se apresenta apenas em Belo Horizonte e cidades vizinhas , mas a equipe pretende *expandir* em breve essa área .","['estender', 'alargar', 'amplificar', 'aumentar', 'ampliar']",,0.0,False,,6.74,3.88874096068289,3.5,3.65321251377534,3.86,3.68663626926229,-4.92564821243286,-4.92564821243286,3.67,3.66931688056611,0.0152418092439513,0.0152418092439513,3.00656949438024,3.00656949438024,8,8,3.95424250943932,3.95424250943932,34,0,3,4.54406804435028,622,0,3,5.79448804665917,0,3,0,3,3,3,3.60205999132796,3.60205999132796,4,4,3.69897000433602,3.69897000433602
0.0,0.0,0.0,"Adquirir, pegar.",0,coletaram,V,,"O pesquisador não vira os exemplares dessa espécie vivos , mas os homens que os *coletaram* lhe disseram que o bigode dos macaquinhos fazia uma curva para cima .","['pegar', 'colher', 'pegaram', 'recolher', 'capturaram', 'juntar', 'apanhar', 'reunir']",,0.0,False,,5.7,3.82607480270083,4.55,3.74429298312268,4.47,3.73798732633343,-6.35894203186035,-5.30424022674561,3.74,3.67577834167409,0.00129074780984813,0.0138961359953863,3.00599346794168,3.00056020318855,9,7,3.90308998699194,4.0,17,0,3,4.25527250510331,48,0,3,4.69019608002851,0,3,0,3,4,3,3.60205999132796,3.69897000433602,0,4,3.69897000433602,3.0
1.0,1.0,1.0,"Prender algo ou alguém, deter, aprisionar.",1,captura,V,"[1.0, 2.0, 3.0]",Outras espécies apresentam formas especiais para a *captura* de suas presas .,"['pegar', 'conquista', 'tomada']","['conquista', 'captura', 'tomada']",1.0,False,,6.92,3.89872518158949,3.78,3.67942789661212,3.8,3.68124123737559,-5.95245409011841,-5.53155708312988,3.67,3.66931688056611,0.000274627193584709,0.00280119737456403,3.00121484384706,3.00011925270049,7,8,3.95424250943932,3.90308998699194,12,0,3,4.11394335230684,10,0,3,4.04139268515823,0,3,0,3,3,3,3.60205999132796,3.60205999132796,0,5,3.77815125038364,3.0
1.0,1.0,1.0,Estar atento para cuidar de algo.,1,vigília,N,"[0.0, 1.0, 2.0, 4.0]","Do alto e em *vigília* , o caçador localizou um dos alvos e disparou seis vezes .","['atenção', 'alerta', 'vigilância']","['vigilância', 'vigília', 'alerta', 'atenção']",1.0,True,"História, Medicina, Religião",7.05,3.90579588036787,4.23,3.71850168886727,4.45,3.73639650227664,-4.73147583007812,-4.73147583007812,4.29,3.72345567203519,0.000906269738829539,0.000906269738829539,3.00039340970595,3.00039340970595,10,10,4.04139268515823,4.04139268515823,67,0,3,4.83250891270624,33,0,3,4.53147891704226,0,3,0,3,5,5,3.77815125038364,3.77815125038364,3,3,3.60205999132796,3.60205999132796
0.0,0.0,0.0,"Conformidade, igualdade de opiniões, pensamentos, sensações ou sentimentos.",0,consenso,N,,"Se não existe nenhum *consenso* , o máximo que se pode afirmar é que cada oceano possui algumas características que os diferenciam .","['harmonia', 'conformidade', 'unanimidade', 'consonância', 'concordância', 'acordo', 'entendimento']",,0.0,False,,5.22,3.79379038469082,4.66,3.75281643118827,5.04,3.78103693862113,-4.84139776229858,-4.84139776229858,4.32,3.72591163229505,0.170543487216104,0.170543487216104,3.06838755293837,3.06838755293837,7,7,3.90308998699194,3.90308998699194,42,0,3,4.63346845557959,8090,0,3,6.90800220117255,0,3,0,3,2,2,3.47712125471966,3.47712125471966,1,1,3.30102999566398,3.30102999566398
0.0,0.0,0.0,"Que é do mal, inimigo.",2,vilão,N,"[1.0, 2.0, 3.0, 4.0]","Depois de passarem séculos procurando um *vilão* para seguir , eles aparecem tristes e desanimados , vivendo em uma caverna de gelo , até que três deles resolvem sair pelo mundo em busca de um líder .","['malvado', 'vil', 'desprezível']","['malvado', 'desprezível', 'vil', 'vilão']",-0.8,False,,6.3,3.86332286012046,3.93,3.69284691927723,3.81,3.68214507637383,-5.53450107574463,-5.28069400787354,4.54,3.74350976472843,0.0049982149232417,0.0110949386208222,3.0047919363856,3.0021652903638,6,6,3.84509804001426,3.84509804001426,27,0,3,4.44715803134222,188,0,3,5.27646180417324,0,3,0,3,3,3,3.60205999132796,3.60205999132796,1,2,3.47712125471966,3.30102999566398
0.0,0.0,0.0,Diminuição; ação de reduzir.,0,redução,N,,As atividades mais citadas por elas foram a economia de energia elétrica e a *redução* no desperdício de água .,"['minguamento', 'restringimento', 'atenuação', 'míngua', 'contração', 'perda', 'apoucamento', 'aminguamento', 'encolhimento', 'diminuição']",,0.0,True,"Matemática, Linguística, Cirurgia, Lingüística, Culinária",7.91,3.94987770403687,3.68,3.67024585307412,3.78,3.67942789661212,-4.91888284683228,-8.15615653991699,2.77,3.57634135020579,0.0137862851179524,5.49254387169417e-05,3.00002385315988,3.00594641162808,8,7,3.90308998699194,3.95424250943932,55,0,3,4.7481880270062,544,0,3,5.73639650227664,0,3,0,3,3,3,3.60205999132796,3.60205999132796,0,1,3.30102999566398,3.0
0.0,0.0,0.0,"Arte de dissimular, esconder aos olhos.",0,camuflagem,N,,"O polvo é um animal fascinante e , além de seus oito braços , tem outra característica incrível : a *camuflagem* .","['homocromia', 'reprodução', 'adaptação', 'imitação', 'similitude', 'disfarce', 'mimetismo', 'semelhança', 'acomodação']",,0.0,False,,5.65,3.8228216453031,3.56,3.65896484266444,4.05,3.70329137811866,-5.89315795898438,-5.72914505004883,4.05,3.70329137811866,0.00790926317523961,0.019828083376816,3.00852696712121,3.00342143659758,7,7,3.90308998699194,3.90308998699194,35,0,3,4.55630250076729,311,0,3,5.49415459401844,0,3,0,3,3,3,3.60205999132796,3.60205999132796,0,3,3.60205999132796,3.0
0.0,0.0,0.0,"Isto é, receita.",2,fórmula,N,"[1.0, 2.0, 3.0, 4.0, 5.0]","Elas também são bastante utilizadas como medida de segurança , como na indústria , para evitar a descoberta de uma *fórmula* nova ou de um produto novo que será lançado , e no exército , em combates ou na defesa do país .","['receita', 'receita', 'prescrição', 'dosagem', 'récipe']","['dosagem', 'fórmula', 'receita', 'récipe', 'prescrição']",-0.8,True,"Álgebra, Automóvel, Química, Religião",7.85,3.94694327069783,2.84,3.58433122436753,3.32,3.63548374681491,-6.09112310409546,-6.09112310409546,3.44,3.64738297011462,0.00458627413286464,0.00458627413286464,3.00198724000999,3.00198724000999,9,9,4.0,4.0,2,0,3,3.47712125471966,181,0,3,5.26007138798508,0,3,0,3,5,5,3.77815125038364,3.77815125038364,3,3,3.60205999132796,3.60205999132796
0.0,0.0,0.0,"Pessoa que se ocupa da paleontologia, trabalha com dinossauros.",2,paleontólogos,N,"[1.0, 2.0]","Atualmente , alguns *paleontólogos* — cientistas que estudam fósseis de animais e vegetais — estão analisando fezes de bichos que já desapareceram da Terra há milhões de anos .",['paleontologista'],"['paleontologistas', 'paleontólogos']",-1.0,False,,6.85065304755528,3.89490578453548,4.30508521247299,3.72469236411099,4.23874190667557,3.71922700290153,-5.40458106994629,-5.40458106994629,3.19475961896256,3.62270707859755,0.00258149561969626,0.00258149561969626,3.00111968469313,3.00111968469313,10,10,4.04139268515823,4.04139268515823,32,0,3,4.51851393987789,96,0,3,4.98677173426625,0,3,0,3,4,4,3.69897000433602,3.69897000433602,1,1,3.30102999566398,3.30102999566398
